"IDATid","SNPid","SAMPLE_ID","INVENTORY_SAMPLE_NAME","SampleType","Plate","GreenIDAT","RedIDAT"
"5745976005_R04C01","WG0117611.DNAH02",587000,"SK-MEL-3","CellLine","WG0117611","5745976005_r04c01_grn.idat","5745976005_r04c01_red.idat"
"5745976007_R04C01","WG0117611.DNAH03",587412,"HNT-34","CellLine","WG0117611","5745976007_r04c01_grn.idat","5745976007_r04c01_red.idat"
"5745976012_R04C01","WG0117611.DNAH04",587422,"OCI-AML3","CellLine","WG0117611","5745976012_r04c01_grn.idat","5745976012_r04c01_red.idat"
"5745976014_R04C01","WG0117611.DNAH05",587433,"BT-20","CellLine","WG0117611","5745976014_r04c01_grn.idat","5745976014_r04c01_red.idat"
"5745976017_R04C01","WG0117611.DNAH06",587442,"CAMA-1","CellLine","WG0117611","5745976017_r04c01_grn.idat","5745976017_r04c01_red.idat"
"5745976020_R04C01","WG0117611.DNAH07",587450,"HCC1428","CellLine","WG0117611","5745976020_r04c01_grn.idat","5745976020_r04c01_red.idat"
"5745976023_R04C01","WG0117611.DNAH08",587458,"HCC2218","CellLine","WG0117611","5745976023_r04c01_grn.idat","5745976023_r04c01_red.idat"
"5745976025_R04C01","WG0117611.DNAH09",587466,"MB361.1","CellLine","WG0117611","5745976025_r04c01_grn.idat","5745976025_r04c01_red.idat"
"5745976027_R04C01","WG0117611.DNAH10",587474,"MDA-MB-436","CellLine","WG0117611","5745976027_r04c01_grn.idat","5745976027_r04c01_red.idat"
"5745976029_R04C01","WG0117611.DNAH11",587482,"ZR-75-1","CellLine","WG0117611","5745976029_r04c01_grn.idat","5745976029_r04c01_red.idat"
"5745976036_R04C01","WG0117611.DNAH12",587489,"COLO 201","CellLine","WG0117611","5745976036_r04c01_grn.idat","5745976036_r04c01_red.idat"
"5745781018_R01C01","WG0117613.DNAA02",587012,"GTL-16","CellLine","WG0117613","5745781018_r01c01_grn.idat","5745781018_r01c01_red.idat"
"5745167015_R01C01","WG0117613.DNAA03",587025,"MKN-7","CellLine","WG0117613","5745167015_r01c01_grn.idat","5745167015_r01c01_red.idat"
"5745781027_R01C01","WG0117613.DNAA04",587521,"MKN-45","CellLine","WG0117613","5745781027_r01c01_grn.idat","5745781027_r01c01_red.idat"
"5745896025_R04C01","WG0117613.DNAB01",587005,"AGS","CellLine","WG0117613","5745896025_r04c01_grn.idat","5745896025_r04c01_red.idat"
"5745781018_R03C01","WG0117613.DNAB02",587017,"OCUM-1","CellLine","WG0117613","5745781018_r03c01_grn.idat","5745781018_r03c01_red.idat"
"5745167015_R03C01","WG0117613.DNAB03",587030,"SNU-484","CellLine","WG0117613","5745167015_r03c01_grn.idat","5745167015_r03c01_red.idat"
"5745781027_R03C01","WG0117613.DNAB04",587522,"OKAJIMA","CellLine","WG0117613","5745781027_r03c01_grn.idat","5745781027_r03c01_red.idat"
"5745167027_R02C01","WG0117613.DNAC01",587006,"NCI-N87","CellLine","WG0117613","5745167027_r02c01_grn.idat","5745167027_r02c01_red.idat"
"5745781018_R02C01","WG0117613.DNAC02",587019,"MKN-1","CellLine","WG0117613","5745781018_r02c01_grn.idat","5745781018_r02c01_red.idat"
"5745167015_R02C01","WG0117613.DNAC03",587031,"SNU-601","CellLine","WG0117613","5745167015_r02c01_grn.idat","5745167015_r02c01_red.idat"
"5745781027_R02C01","WG0117613.DNAC04",587026,"FU97","CellLine","WG0117613","5745781027_r02c01_grn.idat","5745781027_r02c01_red.idat"
"5745167027_R04C01","WG0117613.DNAD01",587007,"SNU-1","CellLine","WG0117613","5745167027_r04c01_grn.idat","5745167027_r04c01_red.idat"
"5745781018_R04C01","WG0117613.DNAD02",587020,"MKN-74","CellLine","WG0117613","5745781018_r04c01_grn.idat","5745781018_r04c01_red.idat"
"5745167015_R04C01","WG0117613.DNAD03",587032,"SNU-620","CellLine","WG0117613","5745167015_r04c01_grn.idat","5745167015_r04c01_red.idat"
"5745781027_R04C01","WG0117613.DNAD04",587027,"IM95","CellLine","WG0117613","5745781027_r04c01_grn.idat","5745781027_r04c01_red.idat"
"5745781005_R01C01","WG0117613.DNAE01",587008,"SNU-5","CellLine","WG0117613","5745781005_r01c01_grn.idat","5745781005_r01c01_red.idat"
"5745167033_R01C01","WG0117613.DNAE02",587021,"NUGC-2","CellLine","WG0117613","5745167033_r01c01_grn.idat","5745167033_r01c01_red.idat"
"5745167023_R01C01","WG0117613.DNAE03",587033,"SNU-638","CellLine","WG0117613","5745167023_r01c01_grn.idat","5745167023_r01c01_red.idat"
"5745781051_R01C01","WG0117613.DNAE04",587028,"IM95m","CellLine","WG0117613","5745781051_r01c01_grn.idat","5745781051_r01c01_red.idat"
"5745781005_R03C01","WG0117613.DNAF01",587009,"SNU-16","CellLine","WG0117613","5745781005_r03c01_grn.idat","5745781005_r03c01_red.idat"
