[Header],,,,,,,,,,,
Institute Name,"BHK Lab",,,,,,,,,,
Investigator Name,Rene Quevedo,,,,,,,,,,
Project Name,InfiniumOmni2.5-8v1.3_A1,,,,,,,,,,
Date,5/30/2017,,,,,,,,,,
,,,,,,,,,,,
[Manifests],,,,,,,,,,,
A,InfiniumOmni2-5-8v1-3_A1,,,,,,,,,,
,,,,,,,,,,,
[Data],,,,,,,,,,,

Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID
Unk215,5745976043,r03c01,_ega-box-147_5745976043_r03c01
Unk216,5745976043,r04c01,_ega-box-147_5745976043_r04c01
Unk217,5745976044,r01c01,_ega-box-147_5745976044_r01c01
Unk218,5745976044,r03c01,_ega-box-147_5745976044_r03c01
Unk219,5745976044,r04c01,_ega-box-147_5745976044_r04c01
Unk220,5745976045,r01c01,_ega-box-147_5745976045_r01c01
Unk221,5745976045,r02c01,_ega-box-147_5745976045_r02c01
Unk222,5745976045,r04c01,_ega-box-147_5745976045_r04c01
Unk223,5745976051,r01c01,_ega-box-147_5745976051_r01c01
Unk224,5745976051,r02c01,_ega-box-147_5745976051_r02c01
Unk225,5745976051,r03c01,_ega-box-147_5745976051_r03c01
Unk226,5745976052,r01c01,_ega-box-147_5745976052_r01c01
Unk227,5745976052,r02c01,_ega-box-147_5745976052_r02c01
Unk228,5745976052,r04c01,_ega-box-147_5745976052_r04c01
Unk229,5745976053,r01c01,_ega-box-147_5745976053_r01c01
Unk230,5745976053,r02c01,_ega-box-147_5745976053_r02c01
Unk231,5745976053,r03c01,_ega-box-147_5745976053_r03c01
Unk232,5745976053,r04c01,_ega-box-147_5745976053_r04c01
Unk233,5745976054,r01c01,_ega-box-147_5745976054_r01c01
Unk234,5745976054,r02c01,_ega-box-147_5745976054_r02c01
Unk235,5745976054,r03c01,_ega-box-147_5745976054_r03c01
Unk236,5745976054,r04c01,_ega-box-147_5745976054_r04c01
Unk237,5745976055,r01c01,_ega-box-147_5745976055_r01c01
Unk238,5745976055,r02c01,_ega-box-147_5745976055_r02c01
Unk239,5745976055,r03c01,_ega-box-147_5745976055_r03c01
Unk240,5745976055,r04c01,_ega-box-147_5745976055_r04c01
Unk241,5745976056,r02c01,_ega-box-147_5745976056_r02c01
Unk242,5745976056,r03c01,_ega-box-147_5745976056_r03c01
Unk243,5745976056,r04c01,_ega-box-147_5745976056_r04c01
Unk244,5745976057,r01c01,_ega-box-147_5745976057_r01c01
Unk245,5745976057,r02c01,_ega-box-147_5745976057_r02c01
Unk246,5745976057,r03c01,_ega-box-147_5745976057_r03c01
Unk247,5745976057,r04c01,_ega-box-147_5745976057_r04c01
Unk248,5745976058,r01c01,_ega-box-147_5745976058_r01c01
Unk249,5745976058,r03c01,_ega-box-147_5745976058_r03c01
Unk250,5745976059,r04c01,_ega-box-147_5745976059_r04c01
Unk251,5745976060,r01c01,_ega-box-147_5745976060_r01c01
Unk252,5745976060,r03c01,_ega-box-147_5745976060_r03c01
Unk253,5745976060,r04c01,_ega-box-147_5745976060_r04c01
Unk254,6246968095,r03c01,_ega-box-147_6246968095_r03c01
Unk255,6298012021,R04C01,_ega-box-147_6298012021_R04C01
Unk256,6298012062,R01C01,_ega-box-147_6298012062_R01C01
Unk257,6298012062,R02C01,_ega-box-147_6298012062_R02C01
Unk258,6298012062,R03C01,_ega-box-147_6298012062_R03C01
Unk259,6298012062,r04c01,_ega-box-147_6298012062_r04c01
Unk260,6298012089,R02C01,_ega-box-147_6298012089_R02C01
Unk261,6298012089,R03C01,_ega-box-147_6298012089_R03C01
Unk262,6298012089,R04C01,_ega-box-147_6298012089_R04C01
Unk263,6298021001,R01C01,_ega-box-147_6298021001_R01C01
Unk264,6298021001,R02C01,_ega-box-147_6298021001_R02C01
Unk265,6298021001,R03C01,_ega-box-147_6298021001_R03C01
Unk266,6298021001,R04C01,_ega-box-147_6298021001_R04C01
Unk267,6298021010,R01C01,_ega-box-147_6298021010_R01C01
Unk268,6298021011,r02c01,_ega-box-147_6298021011_r02c01
Unk269,6298021011,r03c01,_ega-box-147_6298021011_r03c01
Unk270,6298021011,r04c01,_ega-box-147_6298021011_r04c01
Unk271,6298021023,R01C01,_ega-box-147_6298021023_R01C01
Unk272,6298021023,R02C01,_ega-box-147_6298021023_R02C01
Unk273,6298021023,R03C01,_ega-box-147_6298021023_R03C01
Unk274,6298021023,R04C01,_ega-box-147_6298021023_R04C01
Unk275,6298021029,R01C01,_ega-box-147_6298021029_R01C01
Unk276,6298021029,R02C01,_ega-box-147_6298021029_R02C01
Unk277,6298021029,R03C01,_ega-box-147_6298021029_R03C01
Unk278,6298021029,R04C01,_ega-box-147_6298021029_R04C01
Unk279,6298021031,R01C01,_ega-box-147_6298021031_R01C01
Unk280,6298021031,R02C01,_ega-box-147_6298021031_R02C01
Unk281,6298021031,R03C01,_ega-box-147_6298021031_R03C01
Unk282,6298021031,R04C01,_ega-box-147_6298021031_R04C01
Unk283,6298021037,r01c01,_ega-box-147_6298021037_r01c01
Unk284,6298021037,r02c01,_ega-box-147_6298021037_r02c01
Unk285,6298021037,r03c01,_ega-box-147_6298021037_r03c01
